Решаемая задача,Архитектура,Кол-во детектируемых объектов,"Размер модели, Мб",Метрики качества,"Оценка быстродействия, мс",Описание обучающих данных
Детекция оружия на основе данных CCTV съемки,RTMDet,1,425,mAP@0.5 -- 0.869,76 (Tesla V100-SXM2-32GB),"Собственный датасет размеченных видеозаписей ограблений на улице и в помещениях с камер видеонаблюдения (3,91 Гб, ~29000 фото)"
Детекция людей на основе фотографий с БПЛА,FasterRCNN+SSD MobileNetV3,1,230,F1 score -- 0.48,211 (RTX 4090),"Датасет с конкурса поисково-спасательных отрядов Сателлит1 (Объём 54Гб, 8484 фото)"
Обнаружение людей сверху на изображении с широкоугольной камеры ,SSD MobileNetV2,1,"3,6",mAP@0.5 -- 0.965,900 (Raspberry Pi 4),"Собственный датасет размеченных кадров из видео, полученного с широкоугольной камеры (объём ~240Мб, 2696 фото)"
Обнаружение запчастей велосипедной втулки,YOLOv5s,6,"13,8",mAP@0.5 -- 0.982,"220 (Nvidia GeForce GTX1660 Super, 6GB)","Собственный датасет размеченных фотографий некоторых деталей велосипедной втулки (объем 210Мб, ~450 фото)"
Обнаружение запчастей ручной мясорубки (1),YOLOv5s,7,"55,8",mAP@0.5 -- 0.951,"200 (Nvidia GeForce GTX1660 Super, 6GB) ","Собственный датасет размеченных фотографий деталей ручной мясорубки (объем 6,3Гб, ~12100 фото)"
Обнаружение запчастей ручной мясорубки (2),YOLOv8s,7,"85,6",mAP@0.5 -- 0.995,"50 (Nvidia GeForce GTX 3080TI, 12GB) ","Собственный датасет размеченных фотографий деталей ручной мясорубки (объем 6,3Гб, ~12100 фото)"
Обнаружение соединений ручной мясорубки (1),YOLOv5s,7,"14,9",mAP@0.5 -- 0.951,"210 (Nvidia GeForce GTX1660 Super, 6GB) ","Собственный датасет размеченных фотографий соединений деталей ручной мясорубки (объем 2,65Гб, ~29200 фото)"
Обнаружение соединений ручной мясорубки (2),YOLOv8s,7,"21,8",mAP@0.5 -- 0.991,"50 (Nvidia GeForce GTX 3080TI, 12GB)","Собственный датасет размеченных фотографий соединений деталей ручной мясорубки (объем 2,65Гб, ~29200 фото)"
Детекция кистей рук,YOLOv5s,1,"14,9",mAP@0.5 -- 0.994,"200 (Nvidia GeForce GTX1660 Super, 6GB)","Часть датасета HaGRID + собственный датасет размеченных фотографий кистей рук, в том числе и в печатках (объем 67Гб, ~93000 фото (43000 фото из датасета HaGRID, 49000 фото с собственной разметкой)"
Детекция жестов для видеоконференций,YOLOv8s,3,"5,94",mAP@0.5 -- 0.981,8 (Tesla V100-SXM2-32GB),"Собственный датасет размеченных фотографий с жестами (объем 14,7 Гб, ~3000 фото)"
